stationname,parameter,date,hour,conc
Cid.Universitária-USP-Ipen,O3,2019-01-15,8,11
Cid.Universitária-USP-Ipen,O3,2019-01-15,9,40
Cid.Universitária-USP-Ipen,O3,2019-01-15,10,59
Cid.Universitária-USP-Ipen,O3,2019-01-15,11,70
Cid.Universitária-USP-Ipen,O3,2019-01-15,12,86
Cid.Universitária-USP-Ipen,O3,2019-01-15,13,102
Cid.Universitária-USP-Ipen,O3,2019-01-15,14,116
Cid.Universitária-USP-Ipen,O3,2019-01-15,15,129
Cid.Universitária-USP-Ipen,O3,2019-01-15,16,124
Cid.Universitária-USP-Ipen,O3,2019-01-15,17,105
Cid.Universitária-USP-Ipen,O3,2019-01-15,18,107
Cid.Universitária-USP-Ipen,O3,2019-01-15,19,91
Cid.Universitária-USP-Ipen,O3,2019-01-15,20,69
Cid.Universitária-USP-Ipen,O3,2019-01-15,21,51
Cid.Universitária-USP-Ipen,O3,2019-01-15,22,26
Cid.Universitária-USP-Ipen,O3,2019-01-15,23,48
Cid.Universitária-USP-Ipen,O3,2019-01-15,24,69
Cid.Universitária-USP-Ipen,O3,2019-01-16,1,52
Cid.Universitária-USP-Ipen,O3,2019-01-16,2,31
Cid.Universitária-USP-Ipen,O3,2019-01-16,3,22
Cid.Universitária-USP-Ipen,O3,2019-01-16,4,17
Cid.Universitária-USP-Ipen,O3,2019-01-16,5,12
Cid.Universitária-USP-Ipen,O3,2019-01-16,6,27
Cid.Universitária-USP-Ipen,O3,2019-01-16,7,22
Cid.Universitária-USP-Ipen,O3,2019-01-16,8,9
Cid.Universitária-USP-Ipen,O3,2019-01-16,9,11
Cid.Universitária-USP-Ipen,O3,2019-01-16,10,25
Cid.Universitária-USP-Ipen,O3,2019-01-16,11,55
Cid.Universitária-USP-Ipen,O3,2019-01-16,12,83
Cid.Universitária-USP-Ipen,O3,2019-01-16,13,113
Cid.Universitária-USP-Ipen,O3,2019-01-16,14,116
Cid.Universitária-USP-Ipen,O3,2019-01-16,15,109
Cid.Universitária-USP-Ipen,O3,2019-01-16,16,123
Cid.Universitária-USP-Ipen,O3,2019-01-16,17,86
Cid.Universitária-USP-Ipen,O3,2019-01-16,18,36
Cid.Universitária-USP-Ipen,O3,2019-01-16,19,71
Cid.Universitária-USP-Ipen,O3,2019-01-16,20,58
Cid.Universitária-USP-Ipen,O3,2019-01-16,21,51
Cid.Universitária-USP-Ipen,O3,2019-01-16,22,49
Cid.Universitária-USP-Ipen,O3,2019-01-16,23,15
Cid.Universitária-USP-Ipen,O3,2019-01-16,24,41
Cid.Universitária-USP-Ipen,O3,2019-01-17,1,31
Cid.Universitária-USP-Ipen,O3,2019-01-17,2,21
Cid.Universitária-USP-Ipen,O3,2019-01-17,3,31
Cid.Universitária-USP-Ipen,O3,2019-01-17,4,45
Cid.Universitária-USP-Ipen,O3,2019-01-17,5,36
Cid.Universitária-USP-Ipen,O3,2019-01-17,6,29
Cid.Universitária-USP-Ipen,O3,2019-01-17,7,16
Cid.Universitária-USP-Ipen,O3,2019-01-17,8,13
Cid.Universitária-USP-Ipen,O3,2019-01-17,9,17
Cid.Universitária-USP-Ipen,O3,2019-01-17,10,43
Cid.Universitária-USP-Ipen,O3,2019-01-17,11,55
Cid.Universitária-USP-Ipen,O3,2019-01-17,12,70
Cid.Universitária-USP-Ipen,O3,2019-01-17,13,116
Cid.Universitária-USP-Ipen,O3,2019-01-17,14,143
Cid.Universitária-USP-Ipen,O3,2019-01-17,15,159
Cid.Universitária-USP-Ipen,O3,2019-01-17,16,166
Cid.Universitária-USP-Ipen,O3,2019-01-17,17,133
Cid.Universitária-USP-Ipen,O3,2019-01-17,18,125
Cid.Universitária-USP-Ipen,O3,2019-01-17,19,105
Cid.Universitária-USP-Ipen,O3,2019-01-17,20,79
Cid.Universitária-USP-Ipen,O3,2019-01-17,21,53
Cid.Universitária-USP-Ipen,O3,2019-01-17,22,39
Cid.Universitária-USP-Ipen,O3,2019-01-17,23,21
Cid.Universitária-USP-Ipen,O3,2019-01-17,24,3
Cid.Universitária-USP-Ipen,O3,2019-01-18,1,2
Cid.Universitária-USP-Ipen,O3,2019-01-18,2,1
Cid.Universitária-USP-Ipen,O3,2019-01-18,3,2
Cid.Universitária-USP-Ipen,O3,2019-01-18,4,23
Cid.Universitária-USP-Ipen,O3,2019-01-18,5,31
Cid.Universitária-USP-Ipen,O3,2019-01-18,6,18
Cid.Universitária-USP-Ipen,O3,2019-01-18,7,10
Cid.Universitária-USP-Ipen,O3,2019-01-18,8,10
Cid.Universitária-USP-Ipen,O3,2019-01-18,9,28
Cid.Universitária-USP-Ipen,O3,2019-01-18,10,51
Cid.Universitária-USP-Ipen,O3,2019-01-18,11,84
Cid.Universitária-USP-Ipen,O3,2019-01-18,12,122
Cid.Universitária-USP-Ipen,O3,2019-01-18,13,146
Cid.Universitária-USP-Ipen,O3,2019-01-18,14,137
Cid.Universitária-USP-Ipen,O3,2019-01-18,15,127
Cid.Universitária-USP-Ipen,O3,2019-01-18,16,128
Cid.Universitária-USP-Ipen,O3,2019-01-18,17,100
Cid.Universitária-USP-Ipen,O3,2019-01-18,18,84
Cid.Universitária-USP-Ipen,O3,2019-01-18,19,73
Cid.Universitária-USP-Ipen,O3,2019-01-18,20,56
Cid.Universitária-USP-Ipen,O3,2019-01-18,21,39
Cid.Universitária-USP-Ipen,O3,2019-01-18,22,33
Cid.Universitária-USP-Ipen,O3,2019-01-18,23,11
Cid.Universitária-USP-Ipen,O3,2019-01-18,24,15
Cid.Universitária-USP-Ipen,O3,2019-01-19,1,19
Cid.Universitária-USP-Ipen,O3,2019-01-19,2,21
Cid.Universitária-USP-Ipen,O3,2019-01-19,3,35
Cid.Universitária-USP-Ipen,O3,2019-01-19,4,40
Cid.Universitária-USP-Ipen,O3,2019-01-19,5,34
Cid.Universitária-USP-Ipen,O3,2019-01-19,6,18
Cid.Universitária-USP-Ipen,O3,2019-01-19,7,9
Cid.Universitária-USP-Ipen,O3,2019-01-19,8,14
Cid.Universitária-USP-Ipen,O3,2019-01-19,9,40
Cid.Universitária-USP-Ipen,O3,2019-01-19,10,62
Cid.Universitária-USP-Ipen,O3,2019-01-19,11,86
Cid.Universitária-USP-Ipen,O3,2019-01-19,12,105
Cid.Universitária-USP-Ipen,O3,2019-01-19,13,120
Cid.Universitária-USP-Ipen,O3,2019-01-19,14,120
Cid.Universitária-USP-Ipen,O3,2019-01-19,15,113
Cid.Universitária-USP-Ipen,O3,2019-01-19,16,117
